"No.","Time","Source","Destination","Protocol","Length","Info"
"35","12.031700866","10.0.2.4","52.222.158.74","TCP","54","[TCP Dup ACK 15#1] 52594  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"36","12.031941172","52.222.158.74","10.0.2.4","TCP","60","[TCP Dup ACK 16#1] [TCP ACKed unseen segment] 443  >  52594 [ACK] Seq=1 Ack=2 Win=31697 Len=0"
"37","12.543670648","10.0.2.4","52.222.149.57","TCP","54","[TCP Dup ACK 17#1] 44870  >  443 [ACK] Seq=1 Ack=1 Win=63360 Len=0"
"38","12.544199113","52.222.149.57","10.0.2.4","TCP","60","[TCP Dup ACK 18#1] [TCP ACKed unseen segment] 443  >  44870 [ACK] Seq=1 Ack=2 Win=31736 Len=0"
"39","13.279447966","10.0.2.4","8.8.4.4","DNS","75","Standard query 0xcbaf A nmap.scanme.org"
"40","13.279486128","10.0.2.4","8.8.4.4","DNS","75","Standard query 0xb5aa AAAA nmap.scanme.org"
"41","13.304949851","8.8.4.4","10.0.2.4","DNS","103","Standard query response 0xb5aa AAAA nmap.scanme.org AAAA 2600:3c01::f03c:91ff:fe18:bb2f"
"42","13.408265728","8.8.4.4","10.0.2.4","DNS","91","Standard query response 0xcbaf A nmap.scanme.org A 45.33.32.156"
"43","13.738300145","86.254.71.220","45.33.32.156","ICMP","42","Echo (ping) request  id=0x7d6e, seq=0/0, ttl=48 (no response found!)"
"44","13.738347079","10.0.2.4","45.33.32.156","ICMP","42","Echo (ping) request  id=0x7d6e, seq=0/0, ttl=37 (no response found!)"
"45","13.738363290","27.113.212.98","45.33.32.156","ICMP","42","Echo (ping) request  id=0x7d6e, seq=0/0, ttl=53 (no response found!)"
"46","13.738381249","123.34.139.79","45.33.32.156","ICMP","42","Echo (ping) request  id=0x7d6e, seq=0/0, ttl=47 (no response found!)"
"47","13.738499330","86.254.71.220","45.33.32.156","TCP","58","51597  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"48","13.738532097","10.0.2.4","45.33.32.156","TCP","58","51597  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"49","13.738553390","27.113.212.98","45.33.32.156","TCP","58","51597  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"50","13.738655154","123.34.139.79","45.33.32.156","TCP","58","51597  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"51","13.738689442","86.254.71.220","45.33.32.156","TCP","54","51597  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"52","13.738714379","10.0.2.4","45.33.32.156","TCP","54","51597  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"53","13.738847715","27.113.212.98","45.33.32.156","TCP","54","51597  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"54","13.738882511","123.34.139.79","45.33.32.156","TCP","54","51597  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"55","13.738908325","86.254.71.220","45.33.32.156","ICMP","54","Timestamp request    id=0x8b03, seq=0/0, ttl=42"
"56","13.739029112","10.0.2.4","45.33.32.156","ICMP","54","Timestamp request    id=0x8b03, seq=0/0, ttl=39"
"57","13.739069891","27.113.212.98","45.33.32.156","ICMP","54","Timestamp request    id=0x8b03, seq=0/0, ttl=45"
"58","13.739089936","123.34.139.79","45.33.32.156","ICMP","54","Timestamp request    id=0x8b03, seq=0/0, ttl=58"
"59","13.740481659","45.33.32.156","10.0.2.4","TCP","60","80  >  51597 [RST, ACK] Seq=1 Ack=1 Win=32768 Len=0"
"60","13.770695431","10.0.2.4","17.17.0.1","DNS","85","Standard query 0x6f94 PTR 156.32.33.45.in-addr.arpa"
"61","16.271698185","10.0.2.4","17.17.0.1","DNS","85","Standard query 0x6f95 PTR 156.32.33.45.in-addr.arpa"
"62","19.272973493","10.0.2.4","83.143.8.220","DNS","85","Standard query 0x6f96 PTR 156.32.33.45.in-addr.arpa"
"63","20.479652048","10.0.2.4","52.222.158.74","TCP","54","[TCP Dup ACK 1#2] 52592  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"64","20.479738250","10.0.2.4","52.222.158.74","TCP","54","[TCP Dup ACK 2#2] 52604  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"65","20.479778628","10.0.2.4","52.222.158.74","TCP","54","[TCP Dup ACK 3#2] 52596  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"66","20.480266904","52.222.158.74","10.0.2.4","TCP","60","[TCP Dup ACK 4#2] [TCP ACKed unseen segment] 443  >  52592 [ACK] Seq=1 Ack=2 Win=32054 Len=0"
"67","20.480267250","52.222.158.74","10.0.2.4","TCP","60","[TCP Dup ACK 5#2] [TCP ACKed unseen segment] 443  >  52604 [ACK] Seq=1 Ack=2 Win=31340 Len=0"
"68","20.480267561","52.222.158.74","10.0.2.4","TCP","60","[TCP Dup ACK 6#2] [TCP ACKed unseen segment] 443  >  52596 [ACK] Seq=1 Ack=2 Win=32768 Len=0"
"69","20.991584636","10.0.2.4","52.222.158.74","TCP","54","[TCP Dup ACK 7#2] 52600  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"70","20.992031505","52.222.158.74","10.0.2.4","TCP","60","[TCP Dup ACK 8#2] [TCP ACKed unseen segment] 443  >  52600 [ACK] Seq=1 Ack=2 Win=32768 Len=0"
"71","21.759577524","10.0.2.4","52.222.158.74","TCP","54","[TCP Dup ACK 9#2] 52606  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"72","21.759627078","10.0.2.4","52.222.158.74","TCP","54","[TCP Dup ACK 10#2] 52602  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"73","21.759648779","10.0.2.4","52.222.158.74","TCP","54","[TCP Dup ACK 11#2] 52598  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"74","21.759873450","52.222.158.74","10.0.2.4","TCP","60","[TCP Dup ACK 12#2] [TCP ACKed unseen segment] 443  >  52606 [ACK] Seq=1 Ack=2 Win=32411 Len=0"
"75","21.759873650","52.222.158.74","10.0.2.4","TCP","60","[TCP Dup ACK 13#2] [TCP ACKed unseen segment] 443  >  52602 [ACK] Seq=1 Ack=2 Win=32411 Len=0"
"76","21.759873816","52.222.158.74","10.0.2.4","TCP","60","[TCP Dup ACK 14#2] [TCP ACKed unseen segment] 443  >  52598 [ACK] Seq=1 Ack=2 Win=32768 Len=0"
"77","21.773285118","10.0.2.4","83.143.8.220","DNS","85","Standard query 0x6f97 PTR 156.32.33.45.in-addr.arpa"
"78","22.271640993","10.0.2.4","52.222.158.74","TCP","54","[TCP Dup ACK 15#2] 52594  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"79","22.271880779","52.222.158.74","10.0.2.4","TCP","60","[TCP Dup ACK 16#2] [TCP ACKed unseen segment] 443  >  52594 [ACK] Seq=1 Ack=2 Win=31697 Len=0"
"80","22.783742354","10.0.2.4","52.222.149.57","TCP","54","[TCP Dup ACK 17#2] 44870  >  443 [ACK] Seq=1 Ack=1 Win=63360 Len=0"
"81","22.784234726","52.222.149.57","10.0.2.4","TCP","60","[TCP Dup ACK 18#2] [TCP ACKed unseen segment] 443  >  44870 [ACK] Seq=1 Ack=2 Win=31736 Len=0"
"82","24.774251733","10.0.2.4","8.8.8.8","DNS","85","Standard query 0x6f98 PTR 156.32.33.45.in-addr.arpa"
"83","24.822747349","8.8.8.8","10.0.2.4","DNS","114","Standard query response 0x6f98 PTR 156.32.33.45.in-addr.arpa PTR scanme.nmap.org"
"84","24.824455973","86.254.71.220","45.33.32.156","TCP","58","51853  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"85","24.824501276","10.0.2.4","45.33.32.156","TCP","58","51853  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"86","24.824523647","27.113.212.98","45.33.32.156","TCP","58","51853  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"87","24.824546910","123.34.139.79","45.33.32.156","TCP","58","51853  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"88","24.824693123","86.254.71.220","45.33.32.156","TCP","58","51853  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"89","24.824728447","10.0.2.4","45.33.32.156","TCP","58","51853  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"90","24.824756535","27.113.212.98","45.33.32.156","TCP","58","51853  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"91","24.824873193","123.34.139.79","45.33.32.156","TCP","58","51853  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"92","24.824906012","86.254.71.220","45.33.32.156","TCP","58","51853  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"93","24.824929929","10.0.2.4","45.33.32.156","TCP","58","51853  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"94","24.825029501","27.113.212.98","45.33.32.156","TCP","58","51853  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"95","24.825061383","123.34.139.79","45.33.32.156","TCP","58","51853  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"96","24.825082760","86.254.71.220","45.33.32.156","TCP","58","51853  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"97","24.825243708","10.0.2.4","45.33.32.156","TCP","58","51853  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"98","24.825606712","27.113.212.98","45.33.32.156","TCP","58","51853  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"99","24.825632346","123.34.139.79","45.33.32.156","TCP","58","51853  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"100","24.825765297","86.254.71.220","45.33.32.156","TCP","58","51853  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"101","24.825831852","10.0.2.4","45.33.32.156","TCP","58","51853  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"102","24.826058880","27.113.212.98","45.33.32.156","TCP","58","51853  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"103","24.826094719","123.34.139.79","45.33.32.156","TCP","58","51853  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"104","24.826235988","86.254.71.220","45.33.32.156","TCP","58","51853  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"105","24.826394408","10.0.2.4","45.33.32.156","TCP","58","51853  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"106","24.826429999","27.113.212.98","45.33.32.156","TCP","58","51853  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"107","24.826453821","123.34.139.79","45.33.32.156","TCP","58","51853  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"108","24.826562917","86.254.71.220","45.33.32.156","TCP","58","51853  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"109","24.826588309","10.0.2.4","45.33.32.156","TCP","58","51853  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"110","24.826713968","27.113.212.98","45.33.32.156","TCP","58","51853  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"111","24.826748231","123.34.139.79","45.33.32.156","TCP","58","51853  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"112","24.826881378","86.254.71.220","45.33.32.156","TCP","58","51853  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"113","24.826910164","10.0.2.4","45.33.32.156","TCP","58","51853  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"114","24.827018026","27.113.212.98","45.33.32.156","TCP","58","51853  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"115","24.827053341","123.34.139.79","45.33.32.156","TCP","58","51853  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"116","24.827081264","86.254.71.220","45.33.32.156","TCP","58","51853  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"117","24.827382480","10.0.2.4","45.33.32.156","TCP","58","51853  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"118","24.827418208","27.113.212.98","45.33.32.156","TCP","58","51853  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"119","24.827440220","123.34.139.79","45.33.32.156","TCP","58","51853  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"120","24.827568884","86.254.71.220","45.33.32.156","TCP","58","51853  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"121","24.827596503","10.0.2.4","45.33.32.156","TCP","58","51853  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"122","24.827804572","27.113.212.98","45.33.32.156","TCP","58","51853  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"123","24.827839756","123.34.139.79","45.33.32.156","TCP","58","51853  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"124","25.099987147","45.33.32.156","10.0.2.4","TCP","60","22  >  51853 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"125","25.099987468","45.33.32.156","10.0.2.4","TCP","60","80  >  51853 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"126","25.100055273","10.0.2.4","45.33.32.156","TCP","54","51853  >  22 [RST] Seq=1 Win=0 Len=0"
"127","25.100114244","10.0.2.4","45.33.32.156","TCP","54","51853  >  80 [RST] Seq=1 Win=0 Len=0"
"128","25.928385167","86.254.71.220","45.33.32.156","TCP","58","51854  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"129","25.928428172","10.0.2.4","45.33.32.156","TCP","58","51854  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"130","25.928450300","27.113.212.98","45.33.32.156","TCP","58","51854  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"131","25.928558448","123.34.139.79","45.33.32.156","TCP","58","51854  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"132","25.928587465","86.254.71.220","45.33.32.156","TCP","58","51854  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"133","25.928685463","10.0.2.4","45.33.32.156","TCP","58","51854  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"134","25.928708705","27.113.212.98","45.33.32.156","TCP","58","51854  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"135","25.928828988","123.34.139.79","45.33.32.156","TCP","58","51854  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"136","25.928857257","86.254.71.220","45.33.32.156","TCP","58","51854  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"137","25.928995299","10.0.2.4","45.33.32.156","TCP","58","51854  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"138","25.929021482","27.113.212.98","45.33.32.156","TCP","58","51854  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"139","25.929119005","123.34.139.79","45.33.32.156","TCP","58","51854  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"140","25.929145903","86.254.71.220","45.33.32.156","TCP","58","51854  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"141","25.929244391","10.0.2.4","45.33.32.156","TCP","58","51854  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"142","25.929267373","27.113.212.98","45.33.32.156","TCP","58","51854  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"143","25.929286881","123.34.139.79","45.33.32.156","TCP","58","51854  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"144","25.929388546","86.254.71.220","45.33.32.156","TCP","58","51854  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"145","25.929412164","10.0.2.4","45.33.32.156","TCP","58","51854  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"146","25.929509604","27.113.212.98","45.33.32.156","TCP","58","51854  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"147","25.929532243","123.34.139.79","45.33.32.156","TCP","58","51854  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"148","25.929656246","86.254.71.220","45.33.32.156","TCP","58","51854  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"149","25.929681794","10.0.2.4","45.33.32.156","TCP","58","51854  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"150","25.929815919","27.113.212.98","45.33.32.156","TCP","58","51854  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"151","25.929840099","123.34.139.79","45.33.32.156","TCP","58","51854  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"152","25.929940790","86.254.71.220","45.33.32.156","TCP","58","51854  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"153","25.929964414","10.0.2.4","45.33.32.156","TCP","58","51854  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
